n	ṅ
pakkhasankantesu	pakkhasaṅkantesu
panka	paṅka
panko	paṅko
pankā	paṅkā
pankaṃ	paṅkaṃ
panke	paṅke
pankena	paṅkena
pankamhā	paṅkamhā
pankamhi	paṅkamhi
pankajātaṃ	paṅkajātaṃ
pango	paṅgo
pangacīraṃ	paṅgacīraṃ
pangacīrena	paṅgacīrena
paccekapallankesu	paccekapallaṅkesu
pañcakango	pañcakaṅgo
pañcakangaṃ	pañcakaṅgaṃ
pañcakangena	pañcakaṅgena
pañcakangassa	pañcakaṅgassa
pañcakangasutta	pañcakaṅgasutta
pañcangaṃ	pañcaṅgaṃ
pañcangāni	pañcaṅgāni
pañcangasamannāgato	pañcaṅgasamannāgato
pañcangasamannāgataṃ	pañcaṅgasamannāgataṃ
pañcangasamannāgate	pañcaṅgasamannāgate
pañcangasutta	pañcaṅgasutta
pañcangavippahīno	pañcaṅgavippahīno
pañcangavippahīnaṃ	pañcaṅgavippahīnaṃ
pañcangavippahīne	pañcaṅgavippahīne
pañcangiko	pañcaṅgiko
pañcangikā	pañcaṅgikā
pañcangikaṃ	pañcaṅgikaṃ
pañcangike	pañcaṅgike
pañcangikena	pañcaṅgikena
pañcangikassa	pañcaṅgikassa
pañcangikasutta	pañcaṅgikasutta
pañcangikavagga	pañcaṅgikavagga
pañcangikavaggo	pañcaṅgikavaggo
pañcangulikaṃ	pañcaṅgulikaṃ
pañcamasanghādisesasikkhāpadaṃ	pañcamasaṅghādisesasikkhāpadaṃ
pañcasangātigo	pañcasaṅgātigo
paṭange	paṭaṅge
paṭikankhati	paṭikaṅkhati
paṭikankhāmi	paṭikaṅkhāmi
paṭikankhāma	paṭikaṅkhāma
paṭikūlasankhāto	paṭikūlasaṅkhāto
paṭikūlasankhātā	paṭikūlasaṅkhātā
paṭisankhate	paṭisaṅkhate
paṭisankharaṇa	paṭisaṅkharaṇa
paṭisankharaṇaṃ	paṭisaṅkharaṇaṃ
paṭisankhariṃsu	paṭisaṅkhariṃsu
paṭisankharoti	paṭisaṅkharoti
paṭisankharonti	paṭisaṅkharonti
paṭisankharoma	paṭisaṅkharoma
paṭisankhareyyāma	paṭisaṅkhareyyāma
paṭisankharissati	paṭisaṅkharissati
paṭisankharonte	paṭisaṅkharonte
paṭisankhā	paṭisaṅkhā
paṭisankhāya	paṭisaṅkhāya
paṭisankha	paṭisaṅkha
paṭisankhānabalaṃ	paṭisaṅkhānabalaṃ
paṭisankhānabalā	paṭisaṅkhānabalā
paṭisankhānabalasutta	paṭisaṅkhānabalasutta
paṭisankhāraṃ	paṭisaṅkhāraṃ
paṭisankhārāpeti	paṭisaṅkhārāpeti
paṭihankhāmi	paṭihaṅkhāmi
paṭihankhāma	paṭihaṅkhāma
paṭhamasangāmasutta	paṭhamasaṅgāmasutta
paṭhamasanghādisesasikkhāpadaṃ	paṭhamasaṅghādisesasikkhāpadaṃ
paṭhamavibhangasutta	paṭhamavibhaṅgasutta
paṇītasankhātataraṃ	paṇītasaṅkhātataraṃ
paduṭṭhamanasankappo	paduṭṭhamanasaṅkappo
paduṭṭhamanasankappā	paduṭṭhamanasaṅkappā
paduṭṭhamanasankappaṃ	paduṭṭhamanasaṅkappaṃ
padhānasankhāra	padhānasaṅkhāra
padhānasankhārā	padhānasaṅkhārā
padhāniyangāni	padhāniyaṅgāni
padhāniyangehi	padhāniyaṅgehi
padhāniyangāna	padhāniyaṅgāna
padhāniyangasutta	padhāniyaṅgasutta
papañcasankhā	papañcasaṅkhā
papañcasankhāya	papañcasaṅkhāya
papañcasaññāsankhā	papañcasaññāsaṅkhā
papañcasaññāsankhāya	papañcasaññāsaṅkhāya
papañcasaññāsankhājātiko	papañcasaññāsaṅkhājātiko
papañcasaññāsankhānidāno	papañcasaññāsaṅkhānidāno
papañcasaññāsankhānirodhasāruppagāminiṃ	papañcasaññāsaṅkhānirodhasāruppagāminiṃ
papañcasaññāsankhāpabhavo	papañcasaññāsaṅkhāpabhavo
papañcasaññāsankhāsamudayo	papañcasaññāsaṅkhāsamudayo
papañcasaññāsankhāsamudācaraṇapaññattiṃ	papañcasaññāsaṅkhāsamudācaraṇapaññattiṃ
pabbatasankhepe	pabbatasaṅkhepe
pabhankara	pabhaṅkara
pabhankaro	pabhaṅkaro
pabhankarā	pabhaṅkarā
pabhangu	pabhaṅgu
pabhangū	pabhaṅgū
pabhanguṃ	pabhaṅguṃ
pabhangunā	pabhaṅgunā
pabhangunaṃ	pabhaṅgunaṃ
pabhanguraṃ	pabhaṅguraṃ
pabhangusutta	pabhaṅgusutta
parankato	paraṅkato
parankatā	paraṅkatā
parankataṃ	paraṅkataṃ
paripuṇṇasankappa	paripuṇṇasaṅkappa
paripuṇṇasankappo	paripuṇṇasaṅkappo
paripuṇṇasankappā	paripuṇṇasaṅkappā
pariyositasankappo	pariyositasaṅkappo
pariyositasankappaṃ	pariyositasaṅkappaṃ
parisankasi	parisaṅkasi
parisanka	parisaṅka
parisankāya	parisaṅkāya
parisankito	parisaṅkito
parisankitaṃ	parisaṅkitaṃ
parisankite	parisaṅkite
parisankitassa	parisaṅkitassa
pallanka	pallaṅka
pallanko	pallaṅko
pallankā	pallaṅkā
pallankaṃ	pallaṅkaṃ
pallanke	pallaṅke
pallankena	pallaṅkena
pallankassa	pallaṅkassa
pallankasmiṃ	pallaṅkasmiṃ
pallankasahassāni	pallaṅkasahassāni
pallankasahassānaṃ	pallaṅkasahassānaṃ
passaddhakāyasankhāro	passaddhakāyasaṅkhāro
passaddhisambojjhango	passaddhisambojjhaṅgo
passaddhisambojjhangaṃ	passaddhisambojjhaṅgaṃ
passaddhisambojjhangassa	passaddhisambojjhaṅgassa
paṃsukūlikangaṃ	paṃsukūlikaṅgaṃ
pāṭankī	pāṭaṅkī
pāṭankiṃ	pāṭaṅkiṃ
pāṭikankha	pāṭikaṅkha
pāṭikankho	pāṭikaṅkho
pāṭikankhā	pāṭikaṅkhā
pāṭikankhaṃ	pāṭikaṅkhaṃ
pāṭikankhitabbā	pāṭikaṅkhitabbā
pāṭikankhitabbāni	pāṭikaṅkhitabbāni
pāṭikankhitabbāna	pāṭikaṅkhitabbāna
pāṭikankhino	pāṭikaṅkhino
pādanguṭṭhena	pādaṅguṭṭhena
pādanguṭṭhakena	pādaṅguṭṭhakena
pādūpasangayha	pādūpasaṅgayha
pāpasankappo	pāpasaṅkappo
pāpasankappaṃ	pāpasaṅkappaṃ
pāpasangatikā	pāpasaṅgatikā
pāpasampavanko	pāpasampavaṅko
pāpasampavankā	pāpasampavaṅkā
pāpasampavankassa	pāpasampavaṅkassa
pāmangaṃ	pāmaṅgaṃ
pāragangāya	pāragaṅgāya
pārangato	pāraṅgato
pārangatā	pāraṅgatā
pārangataṃ	pāraṅgataṃ
pārangatassa	pāraṅgatassa
pārangama	pāraṅgama
pārangamā	pāraṅgamā
pārangamasutta	pāraṅgamasutta
pārangāmī	pāraṅgāmī
pārisuddhipadhāniyangaṃ	pārisuddhipadhāniyaṅgaṃ
pārisuddhipadhāniyangāni	pārisuddhipadhāniyaṅgāni
pingalā	piṅgalā
pingalakoccho	piṅgalakoccho
pingiya	piṅgiya
pingiyo	piṅgiyo
pingiyā	piṅgiyā
pingiyāna	piṅgiyāna
pingiyamāṇavapucchā	piṅgiyamāṇavapucchā
pingiyāni	piṅgiyāni
pingiyānī	piṅgiyānī
pingiyāniṃ	piṅgiyāniṃ
pingiyāninā	piṅgiyāninā
pingiyānīsutta	piṅgiyānīsutta
piṭṭhasanghāṭaṃ	piṭṭhasaṅghāṭaṃ
piṭṭhasanghāṭassa	piṭṭhasaṅghāṭassa
piṇḍapātikangaṃ	piṇḍapātikaṅgaṃ
pituanke	pituaṅke
piyankara	piyaṅkara
piyankaramātā	piyaṅkaramātā
piyankarasutta	piyaṅkarasutta
pītālankārā	pītālaṅkārā
pītisambojjhango	pītisambojjhaṅgo
pītisambojjhangaṃ	pītisambojjhaṅgaṃ
pītisambojjhangassa	pītisambojjhaṅgassa
pītisambojjhangaṭṭhānīyā	pītisambojjhaṅgaṭṭhānīyā
pungavo	puṅgavo
pungavaṃ	puṅgavaṃ
puññābhisankhāro	puññābhisaṅkhāro
puññābhisankhāraṃ	puññābhisaṅkhāraṃ
punagangānadīādisutta	punagaṅgānadīādisutta
punagangāpeyyālavagga	punagaṅgāpeyyālavagga
pubbangama	pubbaṅgama
pubbangamo	pubbaṅgamo
pubbangamā	pubbaṅgamā
pubbangamaṃ	pubbaṅgamaṃ
pubbangamasutta	pubbaṅgamasutta
purisakhaḷunka	purisakhaḷuṅka
purisakhaḷunko	purisakhaḷuṅko
purisakhaḷunkā	purisakhaḷuṅkā
purisakhaḷunke	purisakhaḷuṅke
purisakhaḷunkajhāyitaṃ	purisakhaḷuṅkajhāyitaṃ
purisalingaṃ	purisaliṅgaṃ
pokkharasātibuddhūpasankamana	pokkharasātibuddhūpasaṅkamana
ponkhānuponkhaṃ	poṅkhānupoṅkhaṃ
bahisunkaghātaṃ	bahisuṅkaghātaṃ
bahujanapubbangamo	bahujanapubbaṅgamo
bahusankappaṃ	bahusaṅkappaṃ
bālasangatacārī	bālasaṅgatacārī
bāhirangasutta	bāhiraṅgasutta
bilangaṃ	bilaṅgaṃ
bilangathālikaṃ	bilaṅgathālikaṃ
bilangathālika	bilaṅgathālika
bilangadutiyaṃ	bilaṅgadutiyaṃ
bilangadutiyena	bilaṅgadutiyena
bilangikaṃ	bilaṅgikaṃ
bilangikassa	bilaṅgikassa
bilangikabhāradvājo	bilaṅgikabhāradvājo
bilangikasutta	bilaṅgikasutta
biḷangadutiyaṃ	biḷaṅgadutiyaṃ
bījanangalaṃ	bījanaṅgalaṃ
bojjhanga	bojjhaṅga
bojjhango	bojjhaṅgo
bojjhangā	bojjhaṅgā
bojjhangaṃ	bojjhaṅgaṃ
bojjhange	bojjhaṅge
bojjhangena	bojjhaṅgena
bojjhangehi	bojjhaṅgehi
bojjhangānaṃ	bojjhaṅgānaṃ
bojjhangesu	bojjhaṅgesu
bojjhangadesanāsutta	bojjhaṅgadesanāsutta
bojjhangapabba	bojjhaṅgapabba
bojjhangapabbaṃ	bojjhaṅgapabbaṃ
bojjhangaratanānaṃ	bojjhaṅgaratanānaṃ
bojjhangasaṃyuttaṃ	bojjhaṅgasaṃyuttaṃ
bojjhangasaṃyuttassa	bojjhaṅgasaṃyuttassa
bojjhangasutta	bojjhaṅgasutta
bojjhangavasena	bojjhaṅgavasena
byāpannacittapaduṭṭhamanasankappasandosahetu	byāpannacittapaduṭṭhamanasaṅkappasandosahetu
byāpādasankappo	byāpādasaṅkappo
byābhangihattho	byābhaṅgihattho
byābhangihatthā	byābhaṅgihatthā
byābhangiṃ	byābhaṅgiṃ
byābhangiyā	byābhaṅgiyā
byābhangīhi	byābhaṅgīhi
brahmaññasankhātā	brahmaññasaṅkhātā
bhango	bhaṅgo
bhangaṃ	bhaṅgaṃ
bhangāni	bhaṅgāni
bhayapaṭikankhī	bhayapaṭikaṅkhī
bhavanettisankhayā	bhavanettisaṅkhayā
bhavasankhāro	bhavasaṅkhāro
bhavasankhāraṃ	bhavasaṅkhāraṃ
bhikkhunisangha	bhikkhunisaṅgha
bhikkhunisangho	bhikkhunisaṅgho
bhikkhunisanghaṃ	bhikkhunisaṅghaṃ
bhikkhunisanghe	bhikkhunisaṅghe
bhikkhunisanghena	bhikkhunisaṅghena
bhikkhunisanghassa	bhikkhunisaṅghassa
bhikkhunivibhanga	bhikkhunivibhaṅga
bhikkhunivibhango	bhikkhunivibhaṅgo
bhikkhunivibhange	bhikkhunivibhaṅge
bhikkhusangha	bhikkhusaṅgha
bhikkhusangho	bhikkhusaṅgho
bhikkhusanghā	bhikkhusaṅghā
bhikkhusanghaṃ	bhikkhusaṅghaṃ
bhikkhusanghe	bhikkhusaṅghe
bhikkhusanghena	bhikkhusaṅghena
bhikkhusanghassa	bhikkhusaṅghassa
bhikkhusanghato	bhikkhusaṅghato
bhikkhusanghaparivuto	bhikkhusaṅghaparivuto
bhikkhusanghapurakkhato	bhikkhusaṅghapurakkhato
bhikkhusanghapurakkhataṃ	bhikkhusaṅghapurakkhataṃ
bhikkhuvibhanga	bhikkhuvibhaṅga
bhikkhuvibhange	bhikkhuvibhaṅge
bhinko	bhiṅko
bhinkacchāpā	bhiṅkacchāpā
bhinkāraṃ	bhiṅkāraṃ
bhingāraṃ	bhiṅgāraṃ
bhujangamaṃ	bhujaṅgamaṃ
bhūrisankhayo	bhūrisaṅkhayo
bheripaṇavasankhatiṇavaninnādasaddaṃ	bheripaṇavasaṅkhatiṇavaninnādasaddaṃ
bheripaṇavasankhatiṇavaninnādasaddena	bheripaṇavasaṅkhatiṇavaninnādasaddena
bheripaṇavasankhatiṇavaninnādasaddānaṃ	bheripaṇavasaṅkhatiṇavaninnādasaddānaṃ
bheripaṇavavaṃsasankhaḍiṇḍimaninnādasaddānaṃ	bheripaṇavavaṃsasaṅkhaḍiṇḍimaninnādasaddānaṃ
maggango	maggaṅgo
maggangā	maggaṅgā
maggangaṃ	maggaṅgaṃ
maggangasutta	maggaṅgasutta
maggaṭṭhangikayānayāyinī	maggaṭṭhaṅgikayānayāyinī
manku	maṅku
mankū	maṅkū
mankuṃ	maṅkuṃ
mankukattukāmo	maṅkukattukāmo
mankubhāvo	maṅkubhāvo
mankubhūto	maṅkubhūto
mankubhūtā	maṅkubhūtā
mankubhūtaṃ	maṅkubhūtaṃ
mankubhūte	maṅkubhūte
mankubhūtassa	maṅkubhūtassa
mangala	maṅgala
mangalo	maṅgalo
mangalā	maṅgalā
mangalaṃ	maṅgalaṃ
mangalāni	maṅgalāni
mangalasutta	maṅgalasutta
mangalasuttaṃ	maṅgalasuttaṃ
mangalavagga	maṅgalavagga
mangalavaggo	maṅgalavaggo
mangalikā	maṅgalikā
manguracchavi	maṅguracchavi
manguracchavī	maṅguracchavī
manguliṃ	maṅguliṃ
mangulitthisutta	maṅgulitthisutta
mangulitthī	maṅgulitthī
mangulitthi	maṅgulitthi
majjhegangāya	majjhegaṅgāya
majjhesinghāṭake	majjhesiṅghāṭake
matthalungaṃ	matthaluṅgaṃ
matthalungassa	matthaluṅgassa
manasankappo	manasaṅkappo
manoduccaritasamangī	manoduccaritasamaṅgī
manopubbangamā	manopubbaṅgamā
manosankhārā	manosaṅkhārā
manosankhāraṃ	manosaṅkhāraṃ
manosucaritasamangī	manosucaritasamaṅgī
manovanko	manovaṅko
manovankaṃ	manovaṅkaṃ
manovankānaṃ	manovaṅkānaṃ
mamankārā	mamaṅkārā
mahattamabhikankhatā	mahattamabhikaṅkhatā
mahākammavibhangaṃ	mahākammavibhaṅgaṃ
mahākammavibhange	mahākammavibhaṅge
mahākammavibhangasutta	mahākammavibhaṅgasutta
mahākammavibhangasuttaṃ	mahākammavibhaṅgasuttaṃ
mahāgosingasutta	mahāgosiṅgasutta
mahāgosingasuttaṃ	mahāgosiṅgasuttaṃ
mahājanasangahaṃ	mahājanasaṅgahaṃ
mahājanasangahanaṃ	mahājanasaṅgahanaṃ
mahātaṇhājālataṇhāsanghāṭappaṭimukkaṃ	mahātaṇhājālataṇhāsaṅghāṭappaṭimukkaṃ
mahātaṇhāsankhayasutta	mahātaṇhāsaṅkhayasutta
mahātaṇhāsankhayasuttaṃ	mahātaṇhāsaṅkhayasuttaṃ
mahānangalena	mahānaṅgalena
mahābhikkhusangho	mahābhikkhusaṅgho
mahāmigasangho	mahāmigasaṅgho
mahāsakuṇasangho	mahāsakuṇasaṅgho
mahāvibhanga	mahāvibhaṅga
mahāvibhango	mahāvibhaṅgo
mahāvibhange	mahāvibhaṅge
mātanga	mātaṅga
mātango	mātaṅgo
mātangaputtattheragāthā	mātaṅgaputtattheragāthā
mātangarañña	mātaṅgarañña
mātangaraññe	mātaṅgaraññe
mātangāraññaṃ	mātaṅgāraññaṃ
migasangha	migasaṅgha
migasanghe	migasaṅghe
migasanghassa	migasaṅghassa
micchāsankappa	micchāsaṅkappa
micchāsankappo	micchāsaṅkappo
micchāsankappā	micchāsaṅkappā
micchāsankappaṃ	micchāsaṅkappaṃ
micchāsankappe	micchāsaṅkappe
micchāsankappena	micchāsaṅkappena
micchāsankappassa	micchāsaṅkappassa
mihitapubbangamā	mihitapubbaṅgamā
mudingo	mudiṅgo
mudingaṃ	mudiṅgaṃ
mudingehi	mudiṅgehi
mudingassa	mudiṅgassa
mudingasadda	mudiṅgasadda
mudingasaddo	mudiṅgasaddo
mudingasaddaṃ	mudiṅgasaddaṃ
mudingasaddena	mudiṅgasaddena
mudutalunanguli	mudutalunaṅguli
mudutalunanguliyaṃ	mudutalunaṅguliyaṃ
yankhantiko	yaṅkhantiko
yangatikā	yaṅgatikā
yangatikāni	yaṅgatikāni
yadākankhasi	yadākaṅkhasi
yadākankha	yadākaṅkha
yuganangalaṃ	yuganaṅgalaṃ
yenakāmangamo	yenakāmaṅgamo
ranga	raṅga
rangena	raṅgena
rangakkhamo	raṅgakkhamo
rangakkhamaṃ	raṅgakkhamaṃ
rangajātaṃ	raṅgajātaṃ
rangajāte	raṅgajāte
rangamajjhe	raṅgamajjhe
rangaratta	raṅgaratta
rangarattā	raṅgarattā
rangarattāni	raṅgarattāni
ratikhiḍḍāsamangī	ratikhiḍḍāsamaṅgī
rājangaṃ	rājaṅgaṃ
rājangāni	rājaṅgāni
rūpasankappo	rūpasaṅkappo
rūpasankappaṃ	rūpasaṅkappaṃ
rūpasankhayavimutto	rūpasaṅkhayavimutto
rūpasankhāyavimutto	rūpasaṅkhāyavimutto
rūpasangaho	rūpasaṅgaho
rogātanko	rogātaṅko
rogātankaṃ	rogātaṅkaṃ
rogātankena	rogātaṅkena
langī	laṅgī
langiṃ	laṅgiṃ
langi	laṅgi
langhaka	laṅghaka
langhakā	laṅghakā
langhakānaṃ	laṅghakānaṃ
langhakāna	laṅghakāna
langhati	laṅghati
langhetu	laṅghetu
langhetuṃ	laṅghetuṃ
linga	liṅga
lingaṃ	liṅgaṃ
lingā	liṅgā
lingāni	liṅgāni
linge	liṅge
lingena	liṅgena
lingehi	liṅgehi
lingassa	liṅgassa
lingato	liṅgato
lingesu	liṅgesu
lingaleso	liṅgaleso
lingiya	liṅgiya
lomasakangiya	lomasakaṅgiya
lomasakangiyo	lomasakaṅgiyo
lomasakangiyā	lomasakaṅgiyā
lomasakangiyaṃ	lomasakaṅgiyaṃ
lomasakangiyattheragāthā	lomasakaṅgiyattheragāthā
lomasakangiyabhaddekarattasutta	lomasakaṅgiyabhaddekarattasutta
lomasakangiyabhaddekarattasuttaṃ	lomasakaṅgiyabhaddekarattasuttaṃ
lohitakālankārā	lohitakālaṅkārā
lohitanko	lohitaṅko
lohitankamayo	lohitaṅkamayo
lohitankamayā	lohitaṅkamayā
lohitankamayāni	lohitaṅkamayāni
lohitankamayassa	lohitaṅkamayassa
lohitango	lohitaṅgo
lohitālankārā	lohitālaṅkārā
sakuṇasangho	sakuṇasaṅgho
sakuṇasanghassa	sakuṇasaṅghassa
sakkūpasankama	sakkūpasaṅkama
sanka	saṅka
sanke	saṅke
sankāya	saṅkāya
sankaccika	saṅkaccika
sankaccikaṃ	saṅkaccikaṃ
sankaccikā	saṅkaccikā
sankaḍḍhanti	saṅkaḍḍhanti
sankaḍḍhanto	saṅkaḍḍhanto
sankaḍḍhitvā	saṅkaḍḍhitvā
sankati	saṅkati
sankanto	saṅkanto
sankantā	saṅkantā
sankantati	saṅkantati
sankanteyya	saṅkanteyya
sankantitvā	saṅkantitvā
sankappa	saṅkappa
sankappo	saṅkappo
sankappā	saṅkappā
sankappaṃ	saṅkappaṃ
sankappehi	saṅkappehi
sankappassa	saṅkappassa
sankappānaṃ	saṅkappānaṃ
sankappati	saṅkappati
sankappissati	saṅkappissati
sankappanānattaṃ	saṅkappanānattaṃ
sankappamaññāya	saṅkappamaññāya
sankapparāgo	saṅkapparāgo
sankappavitakkā	saṅkappavitakkā
sankappeti	saṅkappeti
sankappemi	saṅkappemi
sankappetuṃ	saṅkappetuṃ
sankama	saṅkama
sankamo	saṅkamo
sankamaṃ	saṅkamaṃ
sankamati	saṅkamati
sankamanti	saṅkamanti
sankameyya	saṅkameyya
sankamanāni	saṅkamanāni
sankami	saṅkami
sankampati	saṅkampati
sankampeyya	saṅkampeyya
sankampi	saṅkampi
sankampito	saṅkampito
sankampeti	saṅkampeti
sankampesi	saṅkampesi
sankampessati	saṅkampessati
sankaritvā	saṅkaritvā
sankasāyati	saṅkasāyati
sankasāyanti	saṅkasāyanti
sankasāyasi	saṅkasāyasi
sankasāyissanti	saṅkasāyissanti
sankassaṃ	saṅkassaṃ
sankassā	saṅkassā
sankassaraṃ	saṅkassaraṃ
sankassarasamācāro	saṅkassarasamācāro
sankassarasamācāraṃ	saṅkassarasamācāraṃ
sankassarācāro	saṅkassarācāro
sankavā	saṅkavā
sankavāya	saṅkavāya
sankavāyaṃ	saṅkavāyaṃ
sankavāsutta	saṅkavāsutta
sankāmeti	saṅkāmeti
sankāmessāmi	saṅkāmessāmi
sankāmetvā	saṅkāmetvā
sankāra	saṅkāra
sankāraṃ	saṅkāraṃ
sankārakūṭa	saṅkārakūṭa
sankārakūṭā	saṅkārakūṭā
sankārakūṭe	saṅkārakūṭe
sankārakūṭesu	saṅkārakūṭesu
sankāraggito	saṅkāraggito
sankārabhūtesu	saṅkārabhūtesu
sankāsaṃ	saṅkāsaṃ
sankāsanasutta	saṅkāsanasutta
sankāsanā	saṅkāsanā
sanki	saṅki
sankī	saṅkī
sankicca	saṅkicca
sankicco	saṅkicco
sankiccaṃ	saṅkiccaṃ
sankiṇṇaparikho	saṅkiṇṇaparikho
sankito	saṅkito
sankittīsu	saṅkittīsu
sankiyo	saṅkiyo
sankiyati	saṅkiyati
sankiyanti	saṅkiyanti
sankiyissati	saṅkiyissati
sankiyissanti	saṅkiyissanti
sankiraṇaṃ	saṅkiraṇaṃ
sankiliṭṭha	saṅkiliṭṭha
sankiliṭṭho	saṅkiliṭṭho
sankiliṭṭhā	saṅkiliṭṭhā
sankiliṭṭhaṃ	saṅkiliṭṭhaṃ
sankiliṭṭhe	saṅkiliṭṭhe
sankiliṭṭhena	saṅkiliṭṭhena
sankiliṭṭhacitto	saṅkiliṭṭhacitto
sankiliṭṭhacittā	saṅkiliṭṭhacittā
sankiliṭṭhatarā	saṅkiliṭṭhatarā
sankiliṭṭhābhā	saṅkiliṭṭhābhā
sankiliṭṭhābhānaṃ	saṅkiliṭṭhābhānaṃ
sankiliṭṭhābha	saṅkiliṭṭhābha
sankilissati	saṅkilissati
sankilissanti	saṅkilissanti
sankilissa	saṅkilissa
sankilesaṃ	saṅkilesaṃ
sankilesāya	saṅkilesāya
sankilesadhammo	saṅkilesadhammo
sankilesadhammā	saṅkilesadhammā
sankilesadhammaṃ	saṅkilesadhammaṃ
sankilesadhamme	saṅkilesadhamme
sankilesikā	saṅkilesikā
sankilesikaṃ	saṅkilesikaṃ
sankilesikāni	saṅkilesikāni
sankilesike	saṅkilesike
sankilesikehi	saṅkilesikehi
sankilesikadhammaṃ	saṅkilesikadhammaṃ
sankīyati	saṅkīyati
sankīyanti	saṅkīyanti
sankīyissati	saṅkīyissati
sankīyissanti	saṅkīyissanti
sankīḷantā	saṅkīḷantā
sankīḷante	saṅkīḷante
sanku	saṅku
sankunā	saṅkunā
sankuddho	saṅkuddho
sankupitaṃ	saṅkupitaṃ
sankulikā	saṅkulikā
sankulika	saṅkulika
sankusatena	saṅkusatena
sankusamāhato	saṅkusamāhato
sanketa	saṅketa
sanketaṃ	saṅketaṃ
sanketena	saṅketena
sanketakammaṃ	saṅketakammaṃ
sankha	saṅkha
sankho	saṅkho
sankhā	saṅkhā
sankhaṃ	saṅkhaṃ
sankhe	saṅkhe
sankhāya	saṅkhāya
sankhānaṃ	saṅkhānaṃ
sankhato	saṅkhato
sankhāna	saṅkhāna
sankhatā	saṅkhatā
sankhataṃ	saṅkhataṃ
sankhate	saṅkhate
sankhatassa	saṅkhatassa
sankhatamabhisankharonti	saṅkhatamabhisaṅkharonti
sankhatalakkhaṇāni	saṅkhatalakkhaṇāni
sankhatalakkhaṇāna	saṅkhatalakkhaṇāna
sankhatalakkhaṇasutta	saṅkhatalakkhaṇasutta
sankhatādhātu	saṅkhatādhātu
sankhatārammaṇā	saṅkhatārammaṇā
sankhatiyo	saṅkhatiyo
sankhadhamo	saṅkhadhamo
sankhadhamaṃ	saṅkhadhamaṃ
sankhadhamassa	saṅkhadhamassa
sankhadhamaupamā	saṅkhadhamaupamā
sankhadhamasutta	saṅkhadhamasutta
sankhapaṇavadindimasadda	saṅkhapaṇavadindimasadda
sankhapaṇavadindimasaddo	saṅkhapaṇavadindimasaddo
sankhapaṇavadindimasaddaṃ	saṅkhapaṇavadindimasaddaṃ
sankhamuṇḍika	saṅkhamuṇḍika
sankhamuṇḍikaṃ	saṅkhamuṇḍikaṃ
sankhayo	saṅkhayo
sankhayā	saṅkhayā
sankhayaṃ	saṅkhayaṃ
sankhaye	saṅkhaye
sankharājauppatti	saṅkharājauppatti
sankhalikabandhanena	saṅkhalikabandhanena
sankhalikāhi	saṅkhalikāhi
sankhalikhitaṃ	saṅkhalikhitaṃ
sankhasaddo	saṅkhasaddo
sankhasaddaṃ	saṅkhasaddaṃ
sankhasaddena	saṅkhasaddena
sankhasaddassa	saṅkhasaddassa
sankhasevālapaṇakaṃ	saṅkhasevālapaṇakaṃ
sankhavaṇṇapaṭibhāgāni	saṅkhavaṇṇapaṭibhāgāni
sankhavaṇṇappaṭibhāgāni	saṅkhavaṇṇappaṭibhāgāni
sankhāto	saṅkhāto
sankhātā	saṅkhātā
sankhātaṃ	saṅkhātaṃ
sankhātadhammo	saṅkhātadhammo
sankhātadhammāse	saṅkhātadhammāse
sankhātadhammassa	saṅkhātadhammassa
sankhātadhammānaṃ	saṅkhātadhammānaṃ
sankhātuṃ	saṅkhātuṃ
sankhāditvā	saṅkhāditvā
sankhāne	saṅkhāne
sankhānena	saṅkhānena
sankhāyako	saṅkhāyako
sankhāra	saṅkhāra
sankhāro	saṅkhāro
sankhārā	saṅkhārā
sankhāraṃ	saṅkhāraṃ
sankhāre	saṅkhāre
sankhārena	saṅkhārena
sankhārehi	saṅkhārehi
sankhārānaṃ	saṅkhārānaṃ
sankhārāna	saṅkhārāna
sankhāresu	saṅkhāresu
sankhāraaññāṇasutta	saṅkhāraaññāṇasutta
sankhārakkhandho	saṅkhārakkhandho
sankhārakkhandhe	saṅkhārakkhandhe
sankhārakkhandhassa	saṅkhārakkhandhassa
sankhāragataṃ	saṅkhāragataṃ
sankhāragate	saṅkhāragate
sankhārajātikaṃ	saṅkhārajātikaṃ
sankhāraṭṭhitikā	saṅkhāraṭṭhitikā
sankhārattāya	saṅkhārattāya
sankhārattāyaṃ	saṅkhārattāyaṃ
sankhāradukkhatā	saṅkhāradukkhatā
sankhāradhātu	saṅkhāradhātu
sankhāradhātuyā	saṅkhāradhātuyā
sankhāradhāturāgavinibandhaṃ	saṅkhāradhāturāgavinibandhaṃ
sankhāranidānaṃ	saṅkhāranidānaṃ
sankhāranirodha	saṅkhāranirodha
sankhāranirodho	saṅkhāranirodho
sankhāranirodhā	saṅkhāranirodhā
sankhāranirodhaṃ	saṅkhāranirodhaṃ
sankhāranirodhe	saṅkhāranirodhe
sankhāranirodhāya	saṅkhāranirodhāya
sankhāranirodhagāminī	saṅkhāranirodhagāminī
sankhāranirodhagāminiṃ	saṅkhāranirodhagāminiṃ
sankhāranirodhagāminiyā	saṅkhāranirodhagāminiyā
sankhāranirodhasāruppagāminī	saṅkhāranirodhasāruppagāminī
sankhārapaccayā	saṅkhārapaccayā
sankhārapabhavaṃ	saṅkhārapabhavaṃ
