n	ṅ
ariyaṭṭhangikaṃ	ariyaṭṭhaṅgikaṃ
pavāraṇāsangahaṃ	pavāraṇāsaṅgahaṃ
ekangadassinoti	ekaṅgadassinoti
sankāradhānasmiṃ	saṅkāradhānasmiṃ
sankilissamānāse	saṅkilissamānāse
asanghaṭṭentena	asaṅghaṭṭentena
angārakāsusadisā	aṅgārakāsusadisā
cankamissantīti	caṅkamissantīti
sanghabhedakāpi	saṅghabhedakāpi
sanghabhedakathā	saṅghabhedakathā
vipattisangahena	vipattisaṅgahena
sankhārasantatiṃ	saṅkhārasantatiṃ
sankaccudakasāṭi	saṅkaccudakasāṭi
bojjhangabhāvanā	bojjhaṅgabhāvanā
ñātisanghasatāni	ñātisaṅghasatāni
cirasankiliṭṭhaṃ	cirasaṅkiliṭṭhaṃ
lingapātubhāvena	liṅgapātubhāvena
sanghādisesenāti	saṅghādisesenāti
mahāmigasanghoti	mahāmigasaṅghoti
idhūpasankantāti	idhūpasaṅkantāti
sanghāṭikattameva	saṅghāṭikattameva
tenupasankantoti	tenupasaṅkantoti
padhāniyangānīti	padhāniyaṅgānīti
tadanganibbutoti	tadaṅganibbutoti
bhikkhusanghaṃyeva	bhikkhusaṅghaṃyeva
micchāsankappoti	micchāsaṅkappoti
sankhāragatametaṃ	saṅkhāragatametaṃ
purisakhaḷunkāti	purisakhaḷuṅkāti
biḷangadutiyanti	biḷaṅgadutiyanti
candanangalikāti	candanaṅgalikāti
upasankameyyanti	upasaṅkameyyanti
bilangadutiyanti	bilaṅgadutiyanti
singīnikkhassāpi	siṅgīnikkhassāpi
appaṭisankhāyāti	appaṭisaṅkhāyāti
asitabyābhangiñca	asitabyābhaṅgiñca
aṭṭhangikassetaṃ	aṭṭhaṅgikassetaṃ
sanghupaṭṭhākoti	saṅghupaṭṭhākoti
bhikkhusanghanti	bhikkhusaṅghanti
upasankamanāyāti	upasaṅkamanāyāti
pāpasampavankoti	pāpasampavaṅkoti
sangharakkhitāti	saṅgharakkhitāti
sangharakkhitoti	saṅgharakkhitoti
tadatthangatanti	tadatthaṅgatanti
bilangathālikampi	bilaṅgathālikampi
aḍḍhapallankanti	aḍḍhapallaṅkanti
sanghanānākaraṇaṃ	saṅghanānākaraṇaṃ
aṭṭhangulaparamaṃ	aṭṭhaṅgulaparamaṃ
kankhamabhijānāmi	kaṅkhamabhijānāmi
adhikaraṇasangaho	adhikaraṇasaṅgaho
vitthārasankhepaṃ	vitthārasaṅkhepaṃ
avebhangiyavatthu	avebhaṅgiyavatthu
sanghabhedakavīso	saṅghabhedakavīso
singhāṭakabaddhaṃ	siṅghāṭakabaddhaṃ
idhūpasankamantā	idhūpasaṅkamantā
ahankārapasutāyaṃ	ahaṅkārapasutāyaṃ
odātamanasankappo	odātamanasaṅkappo
maggānaṭṭhangiko	maggānaṭṭhaṅgiko
sanghavavatthānaṃ	saṅghavavatthānaṃ
kusalankusaggaho	kusalaṅkusaggaho
kulankapādakanti	kulaṅkapādakanti
cankamanasālanti	caṅkamanasālanti
samuṭṭhānasangaho	samuṭṭhānasaṅgaho
ogayhaṭṭhangikaṃ	ogayhaṭṭhaṅgikaṃ
gatamāyusankhayaṃ	gatamāyusaṅkhayaṃ
ākankhamānachakka	ākaṅkhamānachakka
sankhatamaddhuvaṃ	saṅkhatamaddhuvaṃ
sanghamappameyyaṃ	saṅghamappameyyaṃ
sankhārāniccatañca	saṅkhārāniccatañca
sayananguṭṭhakena	sayanaṅguṭṭhakena
angapaccangānanti	aṅgapaccaṅgānanti
tadanganibbānanti	tadaṅganibbānanti
upasankamissatīti	upasaṅkamissatīti
lomasakangiyāsubho	lomasakaṅgiyāsubho
sankhāranirodhoti	saṅkhāranirodhoti
sangahavatthūnīti	saṅgahavatthūnīti
upasankamissāmīti	upasaṅkamissāmīti
sotāpattiyanganti	sotāpattiyaṅganti
asammataatthangatū	asammataatthaṅgatū
abhisankhareyyāti	abhisaṅkhareyyāti
bhikkhusanghenāti	bhikkhusaṅghenāti
nālankammaniyanti	nālaṅkammaniyanti
padhānasankhārāti	padhānasaṅkhārāti
theyyasankhātanti	theyyasaṅkhātanti
sankhāranirodhañca	saṅkhāranirodhañca
upasankamissāmāti	upasaṅkamissāmāti
sanghādisesassāti	saṅghādisesassāti
sanghasāmaggiyāti	saṅghasāmaggiyāti
asuddhaparisankito	asuddhaparisaṅkito
pavāraṇāsangahassa	pavāraṇāsaṅgahassa
aṭṭhikankalakuṭike	aṭṭhikaṅkalakuṭike
migasanghanisevitā	migasaṅghanisevitā
sanghabhedakavaggo	saṅghabhedakavaggo
sanghasāmaggīkathā	saṅghasāmaggīkathā
sangahitattabhāvo	saṅgahitattabhāvo
sanghabhedakavagga	saṅghabhedakavagga
upasankamitabboti	upasaṅkamitabboti
sandhisinghāṭakesu	sandhisiṅghāṭakesu
singīnikkhasavaṇṇo	siṅgīnikkhasavaṇṇo
piṭṭhasanghāṭameva	piṭṭhasaṅghāṭameva
sankiccattheragāthā	saṅkiccattheragāthā
sukhavedanāsamangī	sukhavedanāsamaṅgī
ākankhamānachakkaṃ	ākaṅkhamānachakkaṃ
sanghasāmaggiyoti	saṅghasāmaggiyoti
ākankhamānacatukka	ākaṅkhamānacatukka
sankhārapaccayāti	saṅkhārapaccayāti
paṭisankhānabalañca	paṭisaṅkhānabalañca
sankilesadhammaṃyeva	saṅkilesadhammaṃyeva
sankhārasamudayañca	saṅkhārasamudayañca
singālāṭānāṭiyakaṃ	siṅgālāṭānāṭiyakaṃ
satisambojjhangoti	satisambojjhaṅgoti
sangaṇikārāmassāti	saṅgaṇikārāmassāti
aparājitasanghanti	aparājitasaṅghanti
sangaṇikārāmadevatā	saṅgaṇikārāmadevatā
sotāpattiyangānīti	sotāpattiyaṅgānīti
ovādūpasankamanañca	ovādūpasaṅkamanañca
abhisankhareyyanti	abhisaṅkhareyyanti
bhikkhusanghassāti	bhikkhusaṅghassāti
angulipabbamattampi	aṅgulipabbamattampi
pītisambojjhangoti	pītisambojjhaṅgoti
tenupasankamantīti	tenupasaṅkamantīti
mudutalunanguliyassa	mudutalunaṅguliyassa
dukkhavedanāsamangī	dukkhavedanāsamaṅgī
itthālankāravaṇṇake	itthālaṅkāravaṇṇake
sangharakkhitatthero	saṅgharakkhitatthero
pakkhasankantesupi	pakkhasaṅkantesupi
kankhārevatasammato	kaṅkhārevatasammato
aṭṭhangamaggadharaṃ	aṭṭhaṅgamaggadharaṃ
ākankhamānacatukkaṃ	ākaṅkhamānacatukkaṃ
jarāmaraṇasanghāṭaṃ	jarāmaraṇasaṅghāṭaṃ
sammāsankappagocaro	sammāsaṅkappagocaro
pabbajjābhisankhāro	pabbajjābhisaṅkhāro
bhāvethaṭṭhangikaṃ	bhāvethaṭṭhaṅgikaṃ
sammāsankappagocarā	sammāsaṅkappagocarā
sankhārenupalippati	saṅkhārenupalippati
tenupasankameyyanti	tenupasaṅkameyyanti
paripuṇṇasankappāti	paripuṇṇasaṅkappāti
sankhāresūpasantesu	saṅkhāresūpasantesu
kalyāṇasampavankoti	kalyāṇasampavaṅkoti
paṭisankhareyyāmāti	paṭisaṅkhareyyāmāti
anguttarasamāyutāti	aṅguttarasamāyutāti
pāpasampavankassāti	pāpasampavaṅkassāti
pāṭikankhitabbānīti	pāṭikaṅkhitabbānīti
dhammavinayasangītiṃ	dhammavinayasaṅgītiṃ
cankamanajantāgharaṃ	caṅkamanajantāgharaṃ
micchāsankappagocarā	micchāsaṅkappagocarā
bhikkhunisangheneva	bhikkhunisaṅgheneva
sanghabhedakapañcamo	saṅghabhedakapañcamo
sanghādisesakaṇḍādi	saṅghādisesakaṇḍādi
aṭṭhisanghātaghaṭito	aṭṭhisaṅghātaghaṭito
caturangulavitthataṃ	caturaṅgulavitthataṃ
aṭṭhangamaggamariyaṃ	aṭṭhaṅgamaggamariyaṃ
ākankhamānacuddasaka	ākaṅkhamānacuddasaka
bhikkhunisanghenāti	bhikkhunisaṅghenāti
sangāmāvacarenupāli	saṅgāmāvacarenupāli
caturangulapacchimaṃ	caturaṅgulapacchimaṃ
ovādūpasankamananti	ovādūpasaṅkamananti
bojjhangaṭṭhangikaṃ	bojjhaṅgaṭṭhaṅgikaṃ
uttarāsangasatānīti	uttarāsaṅgasatānīti
vigatarajamanangaṇaṃ	vigatarajamanaṅgaṇaṃ
tenupasankamissāmīti	tenupasaṅkamissāmīti
vīriyasambojjhangoti	vīriyasambojjhaṅgoti
tenupasankamissāmāti	tenupasaṅkamissāmāti
tenupasankameyyāmāti	tenupasaṅkameyyāmāti
sankhatalakkhaṇānīti	saṅkhatalakkhaṇānīti
singīnikkhasatassāpi	siṅgīnikkhasatassāpi
sugatigamanasankhātaṃ	sugatigamanasaṅkhātaṃ
tevīsasanghādisesānaṃ	tevīsasaṅghādisesānaṃ
vassaṃvuṭṭhasanghassa	vassaṃvuṭṭhasaṅghassa
sītibhāvābhikankhinī	sītibhāvābhikaṅkhinī
ākankhamānacuddasakaṃ	ākaṅkhamānacuddasakaṃ
navaggahamankusaggaho	navaggahamaṅkusaggaho
diṭṭhasutaparisankito	diṭṭhasutaparisaṅkito
sanghabhedakacatuttho	saṅghabhedakacatuttho
kalyāṇasampavankatāti	kalyāṇasampavaṅkatāti
upekkhāsambojjhangoti	upekkhāsambojjhaṅgoti
asankhatalakkhaṇānīti	asaṅkhatalakkhaṇānīti
samādhisambojjhangoti	samādhisambojjhaṅgoti
bhavasankhāramavassaji	bhavasaṅkhāramavassaji
kammanidānasankhayoti	kammanidānasaṅkhayoti
katangasamannāgatanti	kataṅgasamannāgatanti
angīrasassappaṭimassa	aṅgīrasassappaṭimassa
